GeoFIPS,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01099,"Monroe, AL",19417,20292,19981,21150,23157,23941,24576,25639,27251,26316,27298,27394,27549,28724,29935,31534,31968,32739,33726,35278,38725,42652,42513,44191,46759
01101,"Montgomery, AL",28328,28316,29602,30912,32789,33899,35057,35515,35785,35154,35672,37278,37066,37312,38258,39743,40732,41610,42426,43199,46080,49744,50837,54179,57265
01103,"Morgan, AL",25154,25697,25868,26898,28337,29308,30499,31550,32386,31463,32356,32793,33385,33764,35133,35882,36118,37236,38703,40397,43209,46666,47579,49773,52318
01105,"Perry, AL",17359,17466,17680,19175,20624,22493,23104,23586,24583,24566,26122,26853,26886,28124,26851,28752,29532,31065,31293,32541,37810,40510,40241,42720,44524
01107,"Pickens, AL",19015,20332,20600,22073,23755,25791,25331,27088,27809,28326,29054,29403,31076,32106,30777,31447,31415,33184,33934,36123,39036,44003,41538,42799,45013
01109,"Pike, AL",21110,22108,23069,24136,25981,27241,27817,29170,29751,30107,31626,32160,31396,30616,33065,34337,34680,35698,36714,37768,40937,45723,47569,48719,51706
01111,"Randolph, AL",18363,19461,20159,21237,23008,23688,24574,26515,27771,27171,27630,26617,28038,28895,31008,32491,31840,32872,34020,34940,36450,42148,42760,42915,45447
01113,"Russell, AL",19874,21592,22246,23410,23797,24505,25185,25615,26107,26609,28399,29526,29055,28476,28778,30003,30633,32004,31662,32919,35812,40019,39049,41193,43971
01115,"St. Clair, AL",21399,22585,22905,23585,25668,27335,28193,29121,30671,29511,29842,30943,32688,32427,33972,35356,35953,37298,39317,41297,43116,47395,48249,51097,54878
01117,"Shelby, AL",32832,35094,35259,35416,38095,41042,42733,44918,44266,41628,42241,44615,46284,46700,48325,50217,50745,52316,54529,57402,59916,65375,67471,71510,74513
01119,"Sumter, AL",17276,17561,18250,19164,19940,20611,21888,23362,24003,25002,26489,26763,27937,29740,29072,29292,29747,30113,30182,32277,35831,39247,38568,40753,43035
01121,"Talladega, AL",19110,20270,21447,22478,24201,25234,25627,26595,27145,26653,27752,28556,29221,29484,30656,31302,32006,32474,33465,35123,37957,41431,41552,43842,45757
01123,"Tallapoosa, AL",21723,22318,22317,23680,25441,26936,28766,29903,31006,31154,32635,32784,33790,34068,34345,36707,37491,38020,39383,41816,44271,48838,49152,52576,55117
01125,"Tuscaloosa, AL",24879,25353,26045,26855,27909,29495,30589,31778,32446,31653,32281,33034,33553,33250,33988,34462,34472,35537,36443,37599,39378,41166,42056,44641,46696
01127,"Walker, AL",21499,22676,23696,25081,26463,28412,29881,31321,32800,31679,33037,34200,34366,34054,35309,36540,36148,37711,38922,40970,42787,47150,49282,52060,54820
